titleHebrew,titleEnglish,genre,CEFR,hebrew,english,hebrewNoNiqqud
יוֹם בְּלֻנְדְּעוֹם,A Day at an Amusement Park,monologue,A1,"הַיּוֹם אֲנִי הוֹלֶכֶת לְפַארְק שַׂעֲשׁוּעִים. אֲנִי מְאוֹד שְׂמֵחָה. אֲנִי רוֹאֲהָ רַכֶּבֶת הָהָרִים, גַּלְגַּל הַעֲנָק, וְכַרְסֶלֶת. רִאשׁוֹנָה אֲנִי עוֹלָה לְגַלְגַּל הַעֲנָק. מִלְמַעְלָה אֲנִי רוֹאֲהָ אֶת כָּל הַפַּארְק. אַחַר כָּךְ אֲנִי נִכְנֶסֶת לְרַכֶּבֶת הָהָרִים. זֶה מְאֹד מַצְחִיק וְגַם קְצָת מַפְחִיד. בַּסּוֹף אֲנִי אוֹכֶלֶת גְּלִידָה וְרוֹצָה לַחֲזוֹר שׁוּב מָחָר.","Today I am going to an amusement park. I am very happy. I see a roller coaster, a Ferris wheel, and a carousel. First I go on the Ferris wheel. From above I see the whole park. After that I go on the roller coaster. It is very funny and also a little scary. At the end I eat ice cream and want to come back again tomorrow.","היום אני הולכת לפארק שעשועים. אני מאוד שמחה. אני רואה רכבת ההרים, גלגל הענק, וכרסלת. ראשונה אני עולה לגלגל הענק. מלמעלה אני רואה את כל הפארק. אחר כך אני נכנסת לרכבת ההרים. זה מאד מצחיק וגם קצת מפחיד. בסוף אני אוכלת גלידה ורוצה לחזור שוב מחר."
יוֹם בַּגַּן הַחַיּוֹת,A Day at the Zoo,monologue,A1,"הַיּוֹם אֲנִי הוֹלֶכֶת לְגַן הַחַיּוֹת. אֲנִי שְׂמֵחָה מְאוֹד. בַּגַּן הַחַיּוֹת יֵשׁ אֲרִיּוֹת, קוֹפוֹת, פִּילִים וּדְבָרוֹת אַחֵרוֹת. אֲנִי רוֹאָה אֶת הַפִּיל הַגָּדוֹל. הוּא אוֹכֵל עֵשֶׂב וְהוּא מַצְחִיק. אֲנִי רוֹאָה גַּם קוֹפָה קְטַנָּה. הִיא קוֹפֶצֶת מֵעֵץ לְעֵץ. אֲנִי מְצַלֶּמֶת אוֹתָהּ. אַחֲרֵי זֶה אֲנִי יוֹשֶׁבֶת וְאוֹכֶלֶת גְּלִידָה. זֶה יוֹם יָפֶה וַאֲנִי מְאוֹד מְאוּשֶּׁרֶת.","Today I go to the zoo. I am very happy.
In the zoo there are lions, monkeys, elephants, and other things.
I see the big elephant. He eats grass and he is funny.
I also see a little monkey. She jumps from tree to tree.
I take a picture of her.
After that, I sit and eat ice cream.
It is a beautiful day and I am very happy.","היום אני הולכת לגן החיות. אני שמחה מאוד. בגן החיות יש אריות, קופות, פילים ודברות אחרות. אני רואה את הפיל הגדול. הוא אוכל עשב והוא מצחיק. אני רואה גם קופה קטנה. היא קופצת מעץ לעץ. אני מצלמת אותה. אחרי זה אני יושבת ואוכלת גלידה. זה יום יפה ואני מאוד מאושרת."
יוֹם בַּכְּפָר,A Day in the Countryside,monologue,A1,"הַיּוֹם אֲנִי בַּכְּפָר. הַשֶּׁמֶשׁ זוֹרַחַת וְיֵשׁ רוּחַ קַלָּה. אֲנִי הוֹלֵךְ בַּשָּׂדֶה וְרוֹאֶה פְּרָחִים יָפִים. הַצִּפּוֹרִים שָׁרוֹת וַאֲנִי מַקְשִׁיב לָהֶן.
יֵשׁ גַּם פָּרוֹת וְכִבְשִׂים. אֲנִי רוֹאֶה יֶלֶד קָטָן שֶׁמַּאֲכִיל אֶת הַכֶּבֶשׂ. זֶה מַצְחִיק וְחָמוּד.
בַּצָּהֳרַיִם אֲנִי יוֹשֵׁב תַּחַת עֵץ גָּדוֹל. אֲנִי אוֹכֵל לֶחֶם וְגְבִינָה, וְשׁוֹתֶה מַיִם קָרִים. אֲנִי רָגוּעַ וּשָׂמֵחַ.
בַּסּוֹף אֲנִי חוֹזֵר הַבַּיְתָה וְחוֹשֵׁב: הַכְּפָר יָפֶה וְשָׁקֵט.","Today I am in the countryside. The sun is shining and there is a light breeze. I walk in the field and see beautiful flowers. The birds are singing, and I listen to them. There are also cows and sheep. I see a little boy feeding a sheep. It is funny and cute. At noon I sit under a big tree. I eat bread and cheese, and drink cold water. I am calm and happy. At the end I go back home and think: the countryside is beautiful and quiet.","היום אני בכפר. השמש זורחת ויש רוח קלה. אני הולך בשדה ורואה פרחים יפים. הצפורים שרות ואני מקשיב להן.
יש גם פרות וכבשים. אני רואה ילד קטן שמאכיל את הכבש. זה מצחיק וחמוד.
בצהרים אני יושב תחת עץ גדול. אני אוכל לחם וגבינה, ושותה מים קרים. אני רגוע ושמח.
בסוף אני חוזר הביתה וחושב: הכפר יפה ושקט."
לִשְׁאֹל עַל כִּוּוּנִים,Asking for Directions,dialogue,A1,,,
לְבַקֵּשׁ עֶזְרָה בַּשְּׂדֵה הַתְּעוּפָה,Asking for Help at the Airport,dialogue,A1,,,
לְבַקֵּשׁ גִּישָׁה לְוַי־פַי,Asking for Wi-Fi Access,dialogue,A1,,,
אֵצֶל הַשִּׁנַּנְתָּן,At the Dentist,dialogue,A1,,,
אֲפִיַּת עוּגוּיוֹת,Baking Cookies,monologue,A1,"הַיּוֹם אֲנִי אוֹפֶה עוּגִיּוֹת.
אֲנִי לוֹקֵחַ קֶמַח, סֻכָּר וּבֵיצִים.
אֲנִי שָׂם גַּם שׁוֹקוֹלָד קָטָן.
אֲנִי עוֹרֵב אֶת הַכֹּל בְּקְעָרָה.
אַחֲרֵי זֹאת אֲנִי שָׂם אֶת הַבָּצֵק עַל תַּבְנִית.
הָעוּגִיּוֹת נִמְצָאוֹת בַּתַּנּוּר.
אַחֲרֵי עֶשֶׂר דַּקּוֹת הֵן מוּכָנוֹת.
אֲנִי אוֹהֵב לֶאֱכוֹל עוּגִיּוֹת חַמּוֹת.","Today I am baking cookies. I take flour, sugar, and eggs. I also add a little chocolate. I mix everything in a bowl. After that I put the dough on a tray. The cookies are in the oven. After ten minutes they are ready. I like to eat warm cookies.","היום אני אופה עוגיות.
אני לוקח קמח, סכר וביצים.
אני שם גם שוקולד קטן.
אני עורב את הכל בקערה.
אחרי זאת אני שם את הבצק על תבנית.
העוגיות נמצאות בתנור.
אחרי עשר דקות הן מוכנות.
אני אוהב לאכול עוגיות חמות."
הַזְמָנַת חֶדֶר בְּמָלוֹן,Booking a Hotel Room,dialogue,A1,,,
רִישּׁוּם כְּנִיסָה לְמָלוֹן,Checking into a Hotel,dialogue,A1,,,
