titlePersian,titleEnglish,genre,CEFR,persian,english
زلزله,Earthquakes,science,A1,زلزله وقتی است که زمین می‌لرزد. گاهی زلزله کوچک است. گاهی زلزله بزرگ است. در زلزله، خانه‌ها و ساختمان‌ها می‌تواند خراب شود. مردم می‌ترسند. بعضی وقت‌ها برق قطع می‌شود. بعد از زلزله، مردم بیرون می‌روند. آن‌ها به هم کمک می‌کنند. زلزله در بعضی کشورها بیشتر است.,"An earthquake is when the ground shakes. Sometimes the earthquake is small. Sometimes the earthquake is big. In an earthquake, houses and buildings can be destroyed. People get scared. Sometimes the electricity goes out. After an earthquake, people go outside. They help each other. Earthquakes are more common in some countries."
غذای سالم,Healthy Eating,health,A1,غذای سالم برای بدن خوب است. ما باید آب زیاد بنوشیم. میوه و سبزی خوب است. نان و برنج هم می‌تواند خوب باشد. گوشت، ماهی، و تخم‌مرغ پروتئین دارند. ما نباید زیاد شیرینی بخوریم. غذای خیلی چرب هم خوب نیست. اگر ما غذای سالم بخوریم، بدن قوی است و حال ما بهتر است.,"Healthy food is good for the body. We should drink a lot of water. Fruit and vegetables are good. Bread and rice can also be good. Meat, fish, and eggs have protein. We should not eat too many sweets. Very fatty food is not good either. If we eat healthy food, the body is strong and we feel better."
شهرِ موردِ علاقه‌ی من,My Favorite City,monologue,A1,من یک شهرِ موردِ علاقه دارم. این شهر بزرگ است، اما آرام است. خیابان‌ها تمیز است. من در این شهر زیاد راه می‌روم. پارک‌های خوب دارد و درخت‌های زیاد دارد. من قهوه را دوست دارم، و در این شهر کافه‌های خوب هست. مردم معمولاً مهربان هستند. در تابستان، هوا خوب است و من کنارِ آب می‌نشینم. من این شهر را خیلی دوست دارم.,"I have a favorite city. This city is big, but calm. The streets are clean. I walk a lot in this city. It has good parks and many trees. I like coffee, and in this city there are good cafés. People are usually kind. In summer, the weather is good and I sit by the water. I like this city a lot.
"
پختنِ کوکی,Baking Cookies,monologue,A1,من می‌خواهم کوکی درست کنم. اول، آرد و شکر را در یک کاسه می‌ریزم. بعد، کره و یک تخم‌مرغ را اضافه می‌کنم. همه را خوب هم می‌زنم. بعد، کمی شکلات یا کشمش می‌ریزم. فر را گرم می‌کنم. خمیر را به شکلِ توپ‌های کوچک درست می‌کنم و روی سینی می‌گذارم. سینی را در فر می‌گذارم. بعد از چند دقیقه، کوکی‌ها آماده است. کوکی‌ها گرم و خوشمزه است.,"I want to make cookies. First, I put flour and sugar in a bowl. Then I add butter and an egg. I mix everything well. Then I add a little chocolate or raisins. I heat the oven. I shape the dough into small balls and put them on a tray. I put the tray in the oven. After a few minutes, the cookies are ready. The cookies are warm and tasty."
نظام‌های سیاسیِ جهان,Political Systems of the World,politics,A1,در جهان، کشورها نظام‌های سیاسیِ مختلف دارند. در بعضی کشورها، مردم رأی می‌دهند و رئیس را انتخاب می‌کنند. این کشورها جمهوری هستند. در بعضی کشورها، یک پادشاه یا یک ملکه هست. این کشورها پادشاهی هستند. در بعضی کشورها، یک حزب قدرتِ زیاد دارد. در بعضی کشورها، قانون‌ها سخت است. در بعضی کشورها، مردم آزادیِ بیشتر دارند. هر کشور تاریخ و فرهنگِ خودش را دارد. به همین دلیل، نظامِ سیاسیِ کشورها فرق دارد.,"In the world, countries have different political systems. In some countries, people vote and choose the president. These countries are republics. In some countries, there is a king or a queen. These countries are monarchies. In some countries, one party has a lot of power. In some countries, the laws are strict. In some countries, people have more freedom. Every country has its own history and culture. For this reason, countries’ political systems are different."
چرا ایران خیلی گرم است؟,Why Is Iran So Hot?,science,A1,ایران یک کشور بزرگ است. در تابستان، هوا در ایران خیلی گرم است. در بعضی جاها، بیابان هست. در بیابان، باران کم است. وقتی باران کم است، زمین خشک است. خورشید در آسمان خیلی قوی است. در جنوب ایران، هوا گرم‌تر است. کنار خلیج فارس، هوا گرم و مرطوب است. در بعضی شهرها، مردم در روز بیرون نمی‌روند. آن‌ها آب زیاد می‌نوشند. شب‌ها هوا بهتر است، اما هنوز گرم است.,"Iran is a big country. In summer, the weather in Iran is very hot. In some places, there is desert. In the desert, there is little rain. When there is little rain, the ground is dry. The sun in the sky is very strong. In southern Iran, the weather is hotter. Near the Persian Gulf, the weather is hot and humid. In some cities, people do not go outside during the day. They drink a lot of water. At night the weather is better, but it is still hot."
کلاسِ من,My Classroom,monologue,A1,کلاسِ من بزرگ است. کلاسِ من در مدرسه است. در کلاسِ من یک تخته هست. یک میزِ معلم هم هست. در کلاسِ من صندلی و میز زیاد است. من روی صندلی می‌نشینم. من کتاب و دفتر دارم. من در کلاس می‌خوانم و می‌نویسم. معلم حرف می‌زند و ما گوش می‌کنیم. من کلاسِ خودم را دوست دارم.,My classroom is big. My classroom is in the school. In my classroom there is a board. There is also a teacher’s desk. In my classroom there are many chairs and desks. I sit on a chair. I have a book and a notebook. In class I read and write. The teacher speaks and we listen. I like my classroom.
خانهٔ من,My Home,monologue,A1,خانهٔ من کوچک است و در شهر است. من در آپارتمان زندگی می‌کنم. خانهٔ من یک اتاق خواب دارد و یک اتاق نشیمن هم دارد. آشپزخانهٔ من کوچک است و در آشپزخانه یک یخچال و یک اجاق هست. در اتاق نشیمن یک مبل و یک میز هست و من روی مبل می‌نشینم. من تلویزیون ندارم. در اتاق خواب یک تخت هست و من شب‌ها روی تخت می‌خوابم. یک حمام هم دارم. من هر روز خانه را مرتب می‌کنم. خانهٔ من تمیز است و من خانهٔ خودم را دوست دارم.,"My home is small and it is in the city. I live in an apartment. My home has one bedroom and it also has a living room. My kitchen is small, and in the kitchen there is a refrigerator and a stove. In the living room there is a sofa and a table, and I sit on the sofa. I do not have a TV. In the bedroom there is a bed, and at night I sleep on the bed. I also have a bathroom. Every day I tidy the home. My home is clean, and I like my home."
شب سال نو در ایران,New Year's Eve in Iran,culture,A1,شب سال نو در ایران مهم است. خیلی از مردم در خانه هستند. خانواده دور هم می‌نشینند. آن‌ها با هم حرف می‌زنند و می‌خندند. بعضی‌ها تلویزیون نگاه می‌کنند. بعضی‌ها چای می‌خورند و شیرینی می‌خورند. در شهر، بعضی‌ها بیرون می‌روند. هوا در بعضی جاها سرد است. در نیمه‌شب، مردم می‌گویند: «سال نو مبارک».,"New Year’s Eve in Iran is important. Many people are at home. The family sits together. They talk and laugh together. Some people watch TV. Some people drink tea and eat sweets. In the city, some people go out. In some places, the weather is cold. At midnight, people say, “Happy New Year.”"
سیاست چیست؟,What is Politics?,politics,A1,سیاست درباره‌ی مردم و قانون است. در سیاست، مردم درباره‌ی کارهای مهم حرف می‌زنند. برای مثال، مردم درباره‌ی مدرسه، بیمارستان، و پول حرف می‌زنند. در یک شهر، شهردار کار می‌کند. در یک کشور، رئیس و دولت کار می‌کنند. دولت قانون می‌گذارد. مردم به قانون نیاز دارند. مردم رأی می‌دهند و یک نفر را انتخاب می‌کنند. گاهی مردم با دولت موافق نیستند. آن‌ها در خیابان حرف می‌زنند و می‌گویند: «نه». سیاست همیشه آسان نیست. اما سیاست برای زندگی مهم است.,"Politics is about people and laws. In politics, people talk about important things. For example, people talk about school, hospitals, and money. In a city, the mayor works. In a country, the president and the government work. The government makes laws. People need laws. People vote and choose a person. Sometimes people do not agree with the government. They talk in the street and say, “No.” Politics is not always easy. But politics is important for life."
