English,CEFR,gender,word,wordAudio,pronunciation,definition,sentenceAudio,example,sentenceTranslation,To Delete,Duplicate?
water,A1,noun,آب,X,âb,مایعی بی‌رنگ برای نوشیدن و شستن,X,وقتی تشنه‌ام، یک لیوان آب می‌خواهم.,"When I’m thirsty, I want a glass of water.",,
juice,A1,noun,آب میوه,X,âbmive,نوشیدنیِ گرفته‌شده از میوه,X,برای صبحانه یک لیوان آب میوه می‌نوشم.,"For breakfast, I drink a glass of juice.",,
"weather, climate",A2,noun,آب و هوا,X,âb-o-havâ,وضعیتِ بیرون مثل گرما و سرما و باد,X,آب و هوای امروز گرم است.,Today's weather is hot.,,
beer,A2,noun,آبجو,X,âbjow,نوشیدنیِ الکلیِ زرد و گازدار,X,در این رستوران آبجو هم دارند.,They have beer at this restaurant too.,,
waterfall,B1,noun,آبشار,X,âbšâr,آبِ زیاد که از بلندی پایین می‌آید,X,آبشار بعد از باران خیلی پرآب شد و صدایش از دور شنیده می‌شد.,"The waterfall got very full after the rain, and its sound could be heard from far away.",,
"lemon juice, lemonade",A2,noun,آبلیمو,X,âblimu,مایعِ ترش که از لیمو می‌گیرند,X,من صبح‌ها کمی آبلیمو در آب می‌ریزم.,In the mornings I pour a little lemon juice into water.,,
"candy, sweets",A2,noun,آبنبات,X,âbnabât,شیرینیِ کوچک و سفت برای خوردن,X,من یک آبنبات در کیفم دارم.,I have a candy in my bag.,,
blue,A1,adjective,آبی,X,âbi,دارای رنگِ آسمان در روز روشن,X,آبی رنگِ آسمان است.,Blue is the color of the sky.,,
atheist,B2,noun,آتئیست,X,âte'ist,کسی که به هیچ دین و خدایی باور ندارد,X,او خودش را آتئیست معرفی می‌کند، اما می‌گوید دربارهٔ باور دیگران قضاوت نمی‌کند.,"He introduces himself as an atheist, but says he doesn’t judge other people’s beliefs.",,
fire,A1,noun,آتش,X,âtaš,شعله و گرمایی که می‌سوزاند,X,برای گرم شدن، آتش روشن می‌کنیم.,"To get warm, we light a fire.",,
"brazier, firepot",C,noun,آتشدان,X,âtašdân,ظرفی برای نگه داشتن آتش,X,آتشدانِ برنجیِ وسطِ حیاط، شب‌ها را روشن و دورهمی را گرم می‌کرد.,The brass brazier in the middle of the yard lit up the nights and warmed the gathering.,,
"wrench, spanner",B1,noun,آچار,X,âčâr,ابزارِ باز و بسته کردن پیچ,X,لوله آب شل شده است و من باید با آچار آن را سفت کنم.,The water pipe is loose and I need to tighten it with a wrench.,,
address,A1,noun,آدرس,X,âdres,نشانیِ خانه یا محل,X,بدون آدرس، بسته به دست تو نمی‌رسد.,"Without an address, the package won’t reach you.",,
person,A1,noun,آدم,X,âdam,انسان,X,آدم حرف می‌زند، اما سگ فقط پارس می‌کند.,"A person talks, but a dog only barks.",,
"quiet, calm",A2,adjective,آرام,X,ârâm,وضعیتی که در آن صدای بلند یا آشفتگی وجود ندارد,X,کتابخانه آن‌قدر آرام بود که صدای ورق خوردن کتاب را می‌شنیدم.,The library was so quiet that I could hear the sound of the book's page turning.,,
"barber, hairdresser, hairstylist",A2,noun,آرایشگر,X,ârâyešgar,کسی که مو را کوتاه می‌کند یا مدل می‌دهد,X,آرایشگر موهای من را کوتاه کرد.,The hairdresser cut my hair.,,
flour,A1,noun,آرد,X,ârd,پودرِ گندم برای پختن,X,آرد را با آب قاطی می‌کنم تا خمیر شود.,I mix flour with water so it becomes dough.,,
elbow,B1,noun,آرنج,X,âranj,مفصل و استخوانِ وسطِ دست که خم می‌شود,X,وقتی داشتم از درِ باریک رد می‌شدم، آرنج من به چارچوب برخورد کرد و استخوان مفصلم به شدت درد گرفت.,"When I was passing through the narrow door, my elbow hit the frame and my joint bone hurt severely.",,
"yeah, yes",A1,adverb,آره,X,âre,بله در گفت‌وگوی غیررسمی,X,او پرسید «می‌آیی؟» و من گفتم «آره».,"He asked, “Are you coming?” and I said, “Yeah.”",,
"free, liberal",A2,adjective,آزاد,X,âzâd,دارای آزادی برای انتخاب و حرف زدن,X,من آزاد هستم.,I am free.,,
freedom,B1,noun,آزادی,X,âzâdi,حالتِ رها بودن و اختیار داشتن,X,مردم برای آزادی گاهی هزینهٔ سنگینی می‌دهند.,People sometimes pay a heavy cost for freedom.,,
easy,A2,adjective,آسان,X,âsân,دارای سختیِ کم,X,این کار آسان است.,This is easy.,,
"elevator, lift",A2,noun,آسانسور,X,âsânsor,وسیله‌ای برقی برای جابه‌جاییِ عمودی در ساختمان,X,پله‌ها خراب است، پس باید با آسانسور به طبقه دهم برویم.,"The stairs are broken, so we must go to the tenth floor by elevator.",,
